authors,average_rating,book_id,description,e_book,goodreads_book_id,is_ebook,isbn,language_code,num_pages,original_publication_year,original_title,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,ratings_count,title
Philip Pullman,3.94,62.0,,False,119322,,,eng,0,1995.0,,38382.0,64591.0,198764.0,313147.0,380030.0,953970,"The Golden Compass (His Dark Materials, #1)"
"Emily Brontë, Richard J. Dunn",3.82,63.0,,False,6185,,,eng,0,1847.0,,46469.0,84084.0,215320.0,309180.0,346082.0,899195,Wuthering Heights
Jodi Picoult,4.06,64.0,,False,10917,,,eng,0,2004.0,,17547.0,42763.0,162573.0,314003.0,350994.0,863879,My Sister's Keeper
Kurt Vonnegut Jr.,4.06,65.0,,False,4981,,,eng,0,1969.0,,24964.0,45518.0,152442.0,300948.0,367890.0,846488,Slaughterhouse-Five
Margaret Mitchell,4.28,66.0,,False,18405,,,eng,0,1936.0,,19996.0,33136.0,116160.0,234290.0,493721.0,873981,Gone with the Wind
Khaled Hosseini,4.34,67.0,,False,128029,,,eng,0,2007.0,,6509.0,18015.0,99030.0,295817.0,446694.0,818742,A Thousand Splendid Suns
Stephen Chbosky,4.21,68.0,,False,22628,,,eng,0,1999.0,,14286.0,38658.0,143440.0,297501.0,461020.0,888806,The Perks of Being a Wallflower
Veronica Roth,4.07,69.0,,False,11735983,,,eng,0,2012.0,,10641.0,44620.0,182131.0,339977.0,369969.0,836362,"Insurgent (Divergent, #2)"
Orson Scott Card,4.3,70.0,,False,375802,,,eng,0,1985.0,,15330.0,27612.0,103439.0,264207.0,462829.0,813439,"Ender's Game (Ender's Saga, #1)"
"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",3.75,71.0,,False,18490,,,eng,0,1818.0,,29366.0,74142.0,231022.0,300495.0,248538.0,808589,Frankenstein
Stephen King,4.17,72.0,,False,11588,,,eng,0,1977.0,,18487.0,28981.0,123862.0,277393.0,382158.0,791850,The Shining (The Shining #1)
Stephenie Meyer,3.84,73.0,,False,1656001,,,en-US,0,2008.0,,44215.0,62501.0,154906.0,227180.0,288758.0,749780,"The Host (The Host, #1)"
John Green,4.09,74.0,,False,99561,,,eng,0,2005.0,,16940.0,44232.0,147324.0,262932.0,359857.0,783470,Looking for Alaska
Helen Fielding,3.75,75.0,,False,227443,,,eng,0,1996.0,,28973.0,59309.0,198555.0,254836.0,212825.0,736498,"Bridget Jones's Diary (Bridget Jones, #1)"
"Jane Austen, Tony Tanner, Ros Ballaster",4.06,76.0,,False,14935,,,eng,0,1811.0,,18430.0,34699.0,141987.0,272512.0,311754.0,738894,Sense and Sensibility
"Louis Sachar, Louis Sachar",3.93,77.0,,False,38709,,,eng,0,1998.0,,15495.0,43786.0,176946.0,269153.0,259257.0,747445,"Holes (Holes, #1)"
Lauren Weisberger,3.7,78.0,,False,5139,,,eng,0,2003.0,,24231.0,58323.0,192366.0,226675.0,178250.0,665930,"The Devil Wears Prada (The Devil Wears Prada, #1)"
"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",3.73,79.0,,False,1381,,,eng,0,-720.0,,29703.0,65629.0,183082.0,224120.0,208223.0,670326,The Odyssey
"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",4.28,80.0,,False,157993,,,eng,0,1946.0,,15039.0,32866.0,114714.0,228440.0,468227.0,738757,The Little Prince
Jeannette Walls,4.24,81.0,,False,7445,,,eng,0,2005.0,,7901.0,18922.0,85191.0,227750.0,298102.0,621099,The Glass Castle
Jon Krakauer,3.94,82.0,,False,1845,,,eng,0,1996.0,,19229.0,35567.0,135199.0,248287.0,227095.0,647684,Into the Wild
"Charles Dickens, Richard Maxwell, Hablot Knight Browne",3.81,83.0,,False,1953,,,eng,0,1859.0,,28904.0,55555.0,153305.0,216378.0,223571.0,637412,A Tale of Two Cities
Michael Crichton,3.96,84.0,,False,7677,,,spa,0,1990.0,,15736.0,34222.0,138327.0,231583.0,230615.0,447833,"Jurassic Park (Jurassic Park, #1)"
Shel Silverstein,4.38,85.0,,False,370493,,,eng,0,1964.0,,15345.0,20408.0,76071.0,167542.0,428921.0,702332,The Giving Tree
John Grisham,4.03,86.0,,False,32542,,,eng,0,1989.0,,12106.0,25938.0,122675.0,218617.0,229488.0,597775,A Time to Kill
"Elie Wiesel, Marion Wiesel",4.3,87.0,,False,1617,,,eng,0,1958.0,,7761.0,18539.0,90575.0,230227.0,360777.0,691231,Night (The Night Trilogy #1)
John Green,3.88,88.0,,False,6442769,,,en-US,0,2008.0,,14105.0,47183.0,154479.0,223895.0,215609.0,461311,Paper Towns
William Goldman,4.25,89.0,,False,21787,,,en-US,0,1973.0,,12883.0,21641.0,89236.0,196047.0,338235.0,628637,The Princess Bride 
S.E. Hinton,4.06,90.0,,False,231804,,,en-US,0,1967.0,,10178.0,34346.0,134244.0,227250.0,274419.0,659248,The Outsiders
James Dashner,4.02,91.0,,False,6186357,,,eng,0,2009.0,,15291.0,43370.0,150488.0,266698.0,302109.0,719925,"The Maze Runner (Maze Runner, #1)"
"Steven D. Levitt, Stephen J. Dubner",3.93,92.0,,False,1202,,,en-US,0,2005.0,,14586.0,26538.0,115789.0,216316.0,176072.0,524191,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
Frances Hodgson Burnett,4.12,93.0,,False,2998,,,eng,0,1911.0,,8005.0,25207.0,129646.0,243821.0,285570.0,639357,The Secret Garden
"Gabriel García Márquez, Gregory Rabassa",4.04,94.0,,False,320,,,eng,0,1967.0,,27340.0,37646.0,87675.0,155809.0,267197.0,490565,One Hundred Years of Solitude
"Oscar Wilde, Jeffrey Eugenides",4.06,95.0,,False,5297,,,eng,0,1891.0,,9825.0,30735.0,129420.0,246892.0,257679.0,590014,The Picture of Dorian Gray
E.L. James,3.88,96.0,,False,13536860,,,eng,0,2012.0,,39079.0,55691.0,109963.0,140304.0,265079.0,387290,"Fifty Shades Freed (Fifty Shades, #3)"
"Bram Stoker, Nina Auerbach, David J. Skal",3.98,97.0,,False,17245,,,eng,0,1897.0,,11756.0,36719.0,151396.0,246043.0,243825.0,618973,Dracula
"Stieg Larsson, Reg Keeland",4.22,98.0,,False,5060378,,,eng,0,2006.0,,4623.0,15781.0,91021.0,258236.0,279592.0,563994,"The Girl Who Played with Fire (Millennium, #2)"
E.L. James,3.87,99.0,,False,11857408,,,eng,0,2011.0,,37245.0,58935.0,114203.0,150906.0,262051.0,552059,"Fifty Shades Darker (Fifty Shades, #2)"
Barbara Kingsolver,4.02,100.0,,False,7244,,,eng,0,1998.0,,21699.0,33702.0,92590.0,175725.0,239071.0,546502,The Poisonwood Bible
David Sedaris,3.97,101.0,,False,4137,,,eng,0,2000.0,,19718.0,29034.0,93427.0,178021.0,194076.0,495736,Me Talk Pretty One Day
Maurice Sendak,4.22,102.0,,False,19543,,,eng,0,1963.0,,15392.0,27532.0,93700.0,167043.0,332394.0,620618,Where the Wild Things Are
"Alexandre Dumas, Robin Buss",4.21,103.0,,False,7126,,,eng,0,1844.0,,10381.0,22482.0,89980.0,183142.0,295235.0,555822,The Count of Monte Cristo
Cormac McCarthy,3.95,104.0,,False,6288,,,eng,0,2006.0,,20086.0,36561.0,100989.0,190823.0,207328.0,504793,The Road
Veronica Roth,3.63,105.0,,False,18710190,,,eng,0,2013.0,,31626.0,78366.0,176061.0,192785.0,184388.0,463257,"Allegiant (Divergent, #3)"
Tina Fey,3.94,106.0,,False,9418327,,,eng,0,2011.0,,14842.0,31761.0,129390.0,230080.0,203187.0,506250,Bossypants
Nicholas Sparks,4.15,107.0,,False,3473,,,en-US,0,1999.0,,10640.0,24094.0,94327.0,169650.0,260870.0,546948,A Walk to Remember
Sophie Kinsella,3.61,108.0,,False,9416,,,eng,0,2000.0,,30705.0,56949.0,156636.0,166927.0,146787.0,543658,"Confessions of a Shopaholic (Shopaholic, #1)"
"Victor Hugo, Lee Fahnestock, Norman MacAfee",4.14,109.0,,False,24280,,,eng,0,1862.0,,15225.0,25914.0,87461.0,167385.0,264147.0,513407,Les Misérables
George R.R. Martin,4.4,110.0,,False,10572,,,eng,0,1998.0,,1788.0,7104.0,56167.0,221706.0,320000.0,523303,"A Clash of Kings  (A Song of Ice and Fire, #2)"
Kim Edwards,3.64,111.0,,False,10441,,,eng,0,2005.0,,19453.0,47004.0,145437.0,183150.0,115538.0,501430,The Memory Keeper's Daughter
Jojo Moyes,4.27,112.0,,False,15507958,,,eng,0,2012.0,,10346.0,21880.0,91517.0,249474.0,367916.0,587647,"Me Before You (Me Before You, #1)"
Joseph Heller,3.98,113.0,,False,168668,,,en-US,0,1961.0,,20639.0,37912.0,106269.0,186745.0,230950.0,563265,Catch-22
"Mitch Albom, Saulius Dagys",4.06,114.0,,False,6900,,,eng,0,1997.0,,11507.0,30534.0,107446.0,194448.0,240462.0,556518,Tuesdays with Morrie
Jeffrey Eugenides,3.98,115.0,,False,2187,,,en-US,0,2002.0,,19329.0,30503.0,89740.0,171099.0,197327.0,488243,Middlesex
"Mark Twain, Guy Cardwell, John Seelye",3.89,116.0,,False,24583,,,eng,0,1876.0,,12130.0,34349.0,143659.0,217896.0,186192.0,555359,The Adventures of Tom Sawyer
Madeleine L'Engle,4.04,117.0,,False,18131,,,en-US,0,1962.0,,17313.0,34988.0,119115.0,209745.0,268933.0,615907,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)"
Amy Tan,3.9,118.0,,False,7763,,,eng,0,1989.0,,14802.0,30197.0,116748.0,195930.0,167566.0,515090,The Joy Luck Club
Margaret Atwood,4.06,119.0,,False,38447,,,eng,0,1985.0,,13998.0,32561.0,116975.0,252942.0,267088.0,607889,The Handmaid's Tale
Ann Brashares,3.75,120.0,,False,452306,,,eng,0,2001.0,,14996.0,42396.0,152024.0,177404.0,149784.0,525706,"The Sisterhood of the Traveling Pants (Sisterhood, #1)"
"Vladimir Nabokov, Craig Raine",3.88,121.0,,False,7604,,,eng,0,1955.0,,21091.0,37205.0,108664.0,165477.0,185553.0,469836,Lolita
"Gregory Maguire, Douglas Smith",3.52,122.0,,False,37442,,,eng,0,1995.0,,40802.0,65835.0,132061.0,153583.0,133217.0,506900,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)"
John Grisham,3.99,123.0,,False,5358,,,eng,0,1991.0,,5075.0,20119.0,111543.0,190966.0,160652.0,488269,"The Firm (Penguin Readers, Level 5)"
Emma Donoghue,4.03,124.0,,False,7937843,,,eng,0,2010.0,,11020.0,26079.0,99831.0,217995.0,201402.0,511360,Room
"William Shakespeare, Richard Andrews, Rex Gibson",4.0,125.0,,False,1420,,,eng,0,1600.0,,10413.0,32697.0,121040.0,192937.0,219807.0,515820,Hamlet
Frank Herbert,4.19,126.0,,False,234225,,,eng,0,1965.0,,13354.0,22778.0,74206.0,154771.0,260867.0,485032,Dune (Dune Chronicles #1)
Malcolm Gladwell,3.92,127.0,,False,2612,,,eng,0,2000.0,,15111.0,25871.0,106453.0,189120.0,162511.0,490504,The Tipping Point: How Little Things Can Make a Big Difference
Walter Isaacson,4.09,128.0,,False,11084145,,,eng,0,2011.0,,19680.0,21986.0,88456.0,203975.0,245159.0,560715,Steve Jobs
Ken Kesey,4.18,129.0,,False,332613,,,eng,0,1962.0,,5672.0,15978.0,78714.0,191622.0,222472.0,491642,One Flew Over the Cuckoo's Nest
Ernest Hemingway,3.73,130.0,,False,2165,,,eng,0,1952.0,,28645.0,52583.0,136217.0,186747.0,170136.0,520630,The Old Man and the Sea
John Steinbeck,3.92,131.0,,False,4395,,,eng,0,1939.0,,23552.0,40261.0,103475.0,173589.0,212475.0,322321,The Grapes of Wrath
Mitch Albom,3.9,132.0,,False,3431,,,,0,2003.0,,12360.0,33669.0,107800.0,155830.0,165040.0,449501,The Five People You Meet in Heaven
L.M. Montgomery,4.23,133.0,,False,8127,,,eng,0,1908.0,,8864.0,19531.0,80256.0,158725.0,265976.0,502247,"Anne of Green Gables (Anne of Green Gables, #1)"
Cassandra Clare,4.34,134.0,,False,3777732,,,en-US,0,2009.0,,6646.0,17351.0,79202.0,179290.0,348071.0,593173,"City of Glass (The Mortal Instruments, #3)"
George R.R. Martin,4.54,135.0,,False,62291,,,eng,0,2000.0,,1456.0,4820.0,36418.0,149268.0,335682.0,469022,"A Storm of Swords (A Song of Ice and Fire, #3)"
Rebecca Wells,3.79,136.0,,False,137791,,,en-US,0,1996.0,,15795.0,35314.0,120396.0,158451.0,140552.0,465676,Divine Secrets of the Ya-Ya Sisterhood
Diana Gabaldon,4.2,137.0,,False,10964,,,eng,0,1991.0,,20998.0,27673.0,73126.0,147085.0,309960.0,515547,"Outlander (Outlander, #1)"
"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",3.37,138.0,,False,12296,,,eng,0,1850.0,,34813.0,80444.0,182701.0,165079.0,96209.0,509883,The Scarlet Letter
Ransom Riggs,3.89,139.0,,False,9460487,,,en-US,0,2011.0,,14920.0,45434.0,159227.0,234792.0,217849.0,613674,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)"
"Stieg Larsson, Reg Keeland",4.2,140.0,,False,6892870,,,en-US,0,2007.0,,3823.0,14773.0,78387.0,203297.0,226511.0,443951,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)"
Andy Weir,4.39,141.0,,False,18007564,,,eng,0,2012.0,,4114.0,10856.0,49200.0,173861.0,291671.0,423344,The Martian
Ken Follett,4.29,142.0,,False,5043,,,eng,0,1989.0,,9248.0,16886.0,57825.0,148052.0,263882.0,462517,"The Pillars of the Earth (The Kingsbridge Series, #1)"
Anthony Doerr,4.31,143.0,,False,18143977,,,eng,0,2014.0,,6209.0,14527.0,61020.0,185239.0,280832.0,470001,All the Light We Cannot See
Laura Hillenbrand,4.4,144.0,,False,8664353,,,eng,0,2010.0,,10308.0,12874.0,47828.0,144203.0,313339.0,487775,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
Dan Brown,3.67,145.0,,False,976,,,eng,0,2001.0,,14380.0,45006.0,143182.0,160819.0,116346.0,455610,Deception Point
Donna Tartt,3.87,146.0,,False,17333223,,,eng,0,2013.0,,19164.0,35300.0,93459.0,153459.0,162465.0,396756,The Goldfinch
Jay Asher,4.02,147.0,,False,1217100,,,eng,0,2007.0,,15246.0,35668.0,105414.0,179197.0,235756.0,463783,Thirteen Reasons Why
Tracy Chevalier,3.85,148.0,,False,2865,,,eng,0,1999.0,,11525.0,28287.0,123463.0,189656.0,139246.0,467577,Girl with a Pearl Earring
Gayle Forman,3.96,149.0,,False,4374400,,,en-US,0,2009.0,,12666.0,34896.0,122977.0,190793.0,205755.0,503527,"If I Stay (If I Stay, #1)"
Anita Diamant,4.16,150.0,,False,4989,,,en-US,0,1997.0,,9470.0,19616.0,67878.0,146178.0,206075.0,424981,The Red Tent
Rick Riordan,4.23,151.0,,False,28186,,,eng,0,2006.0,,2967.0,13884.0,91127.0,188988.0,253546.0,514932,"The Sea of Monsters (Percy Jackson and the Olympians, #2)"
Nicholas Sparks,4.01,152.0,,False,5526,,,en-US,0,2006.0,,9683.0,25220.0,94711.0,145202.0,179965.0,441062,Dear John
Cassandra Clare,4.21,153.0,,False,1582996,,,eng,0,2008.0,,6135.0,20075.0,92626.0,192934.0,274238.0,541117,"City of Ashes (The Mortal Instruments, #2)"
William Shakespeare,3.88,154.0,,False,8852,,,eng,0,1606.0,,10551.0,35408.0,127354.0,183871.0,167642.0,496018,Macbeth
J.R.R. Tolkien,4.42,155.0,,False,15241,,,en-US,0,1954.0,,3013.0,10264.0,55433.0,156232.0,307267.0,480446,"The Two Towers (The Lord of the Rings, #2)"
Emily Giffin,3.83,156.0,,False,42156,,,eng,0,2004.0,,16019.0,29297.0,104322.0,148507.0,137044.0,403601,"Something Borrowed (Darcy & Rachel, #1)"
"Dr. Seuss, לאה נאור",4.29,157.0,,False,23772,,,en-US,0,1960.0,,6605.0,14530.0,66873.0,121751.0,251282.0,457475,Green Eggs and Ham
"Roald Dahl, Quentin Blake",4.1,158.0,,False,6310,,,eng,0,1964.0,,6236.0,17193.0,94240.0,178216.0,198862.0,453959,"Charlie and the Chocolate Factory (Charlie Bucket, #1)"
